
--- Batch Run Started ---
ImageName;Quaternion(w;x;y;z);ExecutionTime_s
Stellarium_test_image_60p00000_30p00000.png001.png;quaternioncoord(-0.6976;0.4970;0.0549;0.5132);1.2857
Stellarium_test_image_60p00000_60p00000.png001.png;quaternioncoord(0.7468;-0.2554;-0.0417;-0.6126);1.0809
Stellarium_test_image_60p00000_90p00000.png001.png;quaternioncoord(-0.6665;0.0000;-0.0003;0.7455);1.3214
Stellarium_test_image_60p00000_m30p00000.png001.png;quaternioncoord(0.3639;-0.8430;-0.1986;-0.3428);1.2092
Stellarium_test_image_60p00000_m60p00000.png001.png;quaternioncoord(-0.1451;0.8692;0.4213;0.2145);1.3870
Stellarium_test_image_60p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7544;-0.6564;-0.0004);1.3993
Stellarium_test_image_75p00000_0p00000.png001.png;quaternioncoord(0.6062;-0.6799;-0.1942;-0.3639);0.9561
Stellarium_test_image_75p00000_30p00000.png001.png;quaternioncoord(-0.7359;0.4787;0.1443;0.4566);1.1662
Stellarium_test_image_75p00000_60p00000.png001.png;quaternioncoord(0.7701;-0.2397;-0.0972;-0.5831);0.9720
Stellarium_test_image_75p00000_90p00000.png001.png;quaternioncoord(-0.6665;0.0000;-0.0003;0.7455);1.3196
Stellarium_test_image_75p00000_m30p00000.png001.png;quaternioncoord(0.4134;-0.8179;-0.2846;-0.2812);1.4969
Stellarium_test_image_75p00000_m60p00000.png001.png;quaternioncoord(-0.1900;0.8552;0.4490;0.1758);1.0297
Stellarium_test_image_90p00000_0p00000.png001.png;quaternioncoord(0.6496;-0.6498;-0.2789;-0.2794);1.2547
Stellarium_test_image_90p00000_30p00000.png001.png;quaternioncoord(0.7743;-0.4471;-0.2236;-0.3880);1.6841
Stellarium_test_image_90p00000_60p00000.png001.png;quaternioncoord(-0.7916;0.2121;0.1480;0.5536);1.2628
Stellarium_test_image_90p00000_90p00000.png001.png;quaternioncoord(-0.6666;0.0001;-0.0003;0.7454);1.2754
Stellarium_test_image_90p00000_m30p00000.png001.png;quaternioncoord(0.4552;-0.7885;-0.3580;-0.2070);1.3187
Stellarium_test_image_90p00000_m60p00000.png001.png;quaternioncoord(0.2243;-0.8377;-0.4809;-0.1291);0.6510

--- Batch Run Started ---
ImageName;Quaternion(w;x;y;z);ExecutionTime_s
Stellarium_test_image_0p00000_30p00000.png001.png;quaternioncoord(0.5831;-0.3697;0.3370;-0.6402);1.2236
Stellarium_test_image_0p00000_60p00000.png001.png;quaternioncoord(-0.6522;0.1909;-0.1751;0.7124);1.8367
Stellarium_test_image_0p00000_90p00000.png001.png;quaternioncoord(-0.6662;0.0000;-0.0003;0.7458);1.3567
Stellarium_test_image_0p00000_m30p00000.png001.png;quaternioncoord(0.2756;-0.7221;0.4782;-0.4170);1.3671
Stellarium_test_image_0p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7546;-0.6561;-0.0004);1.9668
Stellarium_test_image_105p00000_0p00000.png001.png;quaternioncoord(0.6830;-0.6124;-0.3533;-0.1832);1.4428
Stellarium_test_image_105p00000_30p00000.png001.png;quaternioncoord(0.0659;-0.5625;-0.7049;0.4270);0.6824
Stellarium_test_image_105p00000_60p00000.png001.png;quaternioncoord(0.8092;-0.1729;-0.1923;-0.5276);1.3149
Stellarium_test_image_105p00000_90p00000.png001.png;quaternioncoord(-0.6667;0.0000;-0.0003;0.7453);1.3674
Stellarium_test_image_105p00000_m30p00000.png001.png;quaternioncoord(-0.4851;0.7577;0.4195;0.1210);1.4789
Stellarium_test_image_105p00000_m60p00000.png001.png;quaternioncoord(-0.2472;0.8184;0.5131;0.0763);0.8632
Stellarium_test_image_120p00000_0p00000.png001.png;quaternioncoord(-0.2695;0.6364;0.6897;0.2164);1.0878
Stellarium_test_image_120p00000_30p00000.png001.png;quaternioncoord(-0.3905;0.3369;0.7981;0.3117);0.7884
Stellarium_test_image_120p00000_60p00000.png001.png;quaternioncoord(-0.8200;0.1219;0.2280;0.5106);1.2293
Stellarium_test_image_120p00000_90p00000.png001.png;quaternioncoord(-0.6668;0.0000;-0.0003;0.7453);1.4118
Stellarium_test_image_120p00000_m30p00000.png001.png;quaternioncoord(0.4993;-0.7277;-0.4697;-0.0251);0.8834
Stellarium_test_image_120p00000_m60p00000.png001.png;quaternioncoord(0.2580;-0.7981;-0.5442;-0.0197);1.7011
Stellarium_test_image_135p00000_0p00000.png001.png;quaternioncoord(-0.7035;0.5476;0.4475;-0.0706);1.1360
Stellarium_test_image_135p00000_30p00000.png001.png;quaternioncoord(-0.1361;-0.4126;-0.7343;0.5216);0.5925
Stellarium_test_image_135p00000_60p00000.png001.png;quaternioncoord(-0.8185;0.0579;0.2519;0.5130);1.1452
Stellarium_test_image_135p00000_90p00000.png001.png;quaternioncoord(-0.6668;0.0000;-0.0003;0.7452);1.3723
Stellarium_test_image_135p00000_m30p00000.png001.png;quaternioncoord(-0.4938;0.7008;0.5089;-0.0780);0.9883
Stellarium_test_image_135p00000_m60p00000.png001.png;quaternioncoord(-0.2557;0.7776;0.5732;-0.0384);0.9260
Stellarium_test_image_150p00000_0p00000.png001.png;quaternioncoord(0.4795;0.2041;0.4940;0.6960);0.9259
Stellarium_test_image_150p00000_30p00000.png001.png;quaternioncoord(0.0319;0.1419;-0.7854;0.6016);0.9093
Stellarium_test_image_150p00000_60p00000.png001.png;quaternioncoord(-0.7920;-0.0222;0.2575;0.5531);1.2086
Stellarium_test_image_150p00000_90p00000.png001.png;quaternioncoord(-0.6669;-0.0000;-0.0003;0.7451);1.6738
Stellarium_test_image_150p00000_m30p00000.png001.png;quaternioncoord(0.4650;-0.6782;-0.5387;0.1833);0.6684
Stellarium_test_image_150p00000_m60p00000.png001.png;quaternioncoord(-0.2405;0.7572;0.5998;-0.0951);0.9422
Stellarium_test_image_150p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7541;-0.6568;-0.0003);2.0325
Stellarium_test_image_15p00000_0p00000.png001.png;quaternioncoord(0.4702;-0.2881;0.4581;0.6972);1.3019
Stellarium_test_image_15p00000_30p00000.png001.png;quaternioncoord(0.6044;-0.4361;0.2448;-0.6201);0.8671
Stellarium_test_image_15p00000_60p00000.png001.png;quaternioncoord(0.6754;-0.2255;0.1272;-0.6905);1.7962
Stellarium_test_image_15p00000_90p00000.png001.png;quaternioncoord(-0.6663;0.0000;-0.0003;0.7457);1.3806
Stellarium_test_image_15p00000_m30p00000.png001.png;quaternioncoord(0.2370;-0.8427;0.1999;-0.4402);1.4754
Stellarium_test_image_15p00000_m60p00000.png001.png;quaternioncoord(0.0583;0.8529;0.4532;0.2525);1.2633
Stellarium_test_image_15p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7546;-0.6561;-0.0003);0.7769
Stellarium_test_image_165p00000_0p00000.png001.png;FAILED;2.6767
Stellarium_test_image_165p00000_30p00000.png001.png;quaternioncoord(0.1403;-0.3421;-0.7948;0.4812);1.5815
Stellarium_test_image_165p00000_60p00000.png001.png;quaternioncoord(0.7145;0.1187;-0.2297;-0.6501);0.7623
Stellarium_test_image_165p00000_90p00000.png001.png;quaternioncoord(-0.6670;0.0000;-0.0003;0.7451);1.3942
Stellarium_test_image_165p00000_m30p00000.png001.png;quaternioncoord(0.4115;-0.6594;-0.5616;0.2835);1.7263
Stellarium_test_image_165p00000_m60p00000.png001.png;quaternioncoord(-0.2126;0.7369;0.6246;-0.1471);0.9344
Stellarium_test_image_165p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7540;-0.6569;-0.0003);0.7218
Stellarium_test_image_180p00000_0p00000.png001.png;quaternioncoord(0.4405;-0.5534;-0.4376;0.5552);1.2622
Stellarium_test_image_180p00000_30p00000.png001.png;quaternioncoord(-0.4886;0.4130;0.2823;-0.7148);1.2998
Stellarium_test_image_180p00000_60p00000.png001.png;quaternioncoord(-0.5809;-0.2069;0.1553;0.7718);0.6243
Stellarium_test_image_180p00000_90p00000.png001.png;quaternioncoord(-0.6670;0.0000;-0.0003;0.7450);1.3965
Stellarium_test_image_180p00000_m30p00000.png001.png;quaternioncoord(-0.3356;0.6419;0.5816;-0.3703);1.7457
Stellarium_test_image_180p00000_m60p00000.png001.png;quaternioncoord(0.1737;-0.7160;-0.6484;0.1915);0.8499
Stellarium_test_image_180p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7539;-0.6570;-0.0004);1.9838
Stellarium_test_image_195p00000_0p00000.png001.png;quaternioncoord(-0.9876;-0.0218;-0.1261;0.0911);1.3430
Stellarium_test_image_195p00000_30p00000.png001.png;quaternioncoord(-0.1749;-0.8751;0.4404;0.0978);1.4304
Stellarium_test_image_195p00000_60p00000.png001.png;quaternioncoord(-0.4681;-0.2512;0.0621;0.8450);0.8947
Stellarium_test_image_195p00000_90p00000.png001.png;quaternioncoord(-0.6671;0.0000;-0.0003;0.7450);1.3993
Stellarium_test_image_195p00000_m30p00000.png001.png;quaternioncoord(0.2434;-0.6216;-0.6032;0.4365);1.0795
Stellarium_test_image_195p00000_m60p00000.png001.png;quaternioncoord(0.1256;-0.6943;-0.6716;0.2259);0.9084
Stellarium_test_image_195p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7539;-0.6570;-0.0004);1.6871
Stellarium_test_image_210p00000_0p00000.png001.png;quaternioncoord(0.1529;-0.5227;-0.4743;0.6917);0.9691
Stellarium_test_image_210p00000_30p00000.png001.png;quaternioncoord(0.0158;-0.5537;-0.7305;0.3995);1.5458
Stellarium_test_image_210p00000_60p00000.png001.png;quaternioncoord(-0.4185;-0.2581;-0.0200;0.8706);1.2709
Stellarium_test_image_210p00000_90p00000.png001.png;quaternioncoord(-0.6672;0.0000;-0.0003;0.7449);1.3911
Stellarium_test_image_210p00000_m30p00000.png001.png;quaternioncoord(-0.1427;0.5951;0.6294;-0.4789);1.4250
Stellarium_test_image_210p00000_m60p00000.png001.png;quaternioncoord(0.0714;-0.6705;-0.6954;0.2484);0.8708
Stellarium_test_image_210p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7538;-0.6571;-0.0004);1.6541
Stellarium_test_image_225p00000_0p00000.png001.png;quaternioncoord(-0.0282;0.4797;0.5198;-0.7064);0.9784
Stellarium_test_image_225p00000_30p00000.png001.png;quaternioncoord(-0.0973;-0.3911;-0.3120;0.8604);0.9689
Stellarium_test_image_225p00000_60p00000.png001.png;quaternioncoord(0.4122;0.2437;0.0878;-0.8735);0.7830
Stellarium_test_image_225p00000_90p00000.png001.png;quaternioncoord(-0.6672;0.0000;-0.0003;0.7448);1.4105
Stellarium_test_image_225p00000_m30p00000.png001.png;quaternioncoord(0.0411;-0.5599;-0.6609;0.4981);0.7220
Stellarium_test_image_225p00000_m60p00000.png001.png;quaternioncoord(0.0140;-0.6448;-0.7193;0.2581);0.8241
Stellarium_test_image_225p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7537;-0.6573;-0.0004);1.7706
Stellarium_test_image_240p00000_0p00000.png001.png;quaternioncoord(0.0974;0.4346;0.5581;-0.7001);1.5169
Stellarium_test_image_240p00000_30p00000.png001.png;quaternioncoord(0.1995;0.3431;0.3641;-0.8425);1.3955
